Player,start,end,ppg,apg,rpg,spg,bpg,dpoy,mvp,fmvp,allstar,allnba,alldef,ppg_leader,rpg_leader,apg_leader,ws_leader,hof
Ward Williams,1949.0,1949.0,4.06,1.55,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Willie Williams,1971.0,1971.0,0.92,0.32,0.92,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Ziaire Williams,2022.0,2023.0,7.01,0.93,2.08,0.5,0.17,0,0,0,0,0,0,0,0,0,0,0
Nigel WilliamsGoss,2020.0,2020.0,1.4,0.6,0.6,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0
Corliss Williamson,1996.0,2007.0,11.13,1.18,3.87,0.56,0.32,0,0,0,0,0,0,0,0,0,0,0
John Williamson,1974.0,1981.0,17.47,2.79,2.47,1.07,0.27,0,0,0,0,0,0,0,0,0,0,0
Zion Williamson,2020.0,2023.0,25.8,3.59,6.96,0.92,0.56,0,0,0,2,0,0,0,0,0,0,0
Vann Williford,1971.0,1971.0,3.89,0.39,1.79,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Kevin Willis,1985.0,2007.0,12.12,0.93,8.36,0.67,0.53,0,0,0,1,1,0,0,0,0,0,0
Bill Willoughby,1976.0,1984.0,6.0,0.85,3.88,0.43,0.6,0,0,0,0,0,0,0,0,0,0,0
Dedric Willoughby,2000.0,2000.0,7.6,2.64,2.04,0.92,0.08,0,0,0,0,0,0,0,0,0,0,0
Bob Wilson,1952.0,1952.0,3.75,1.71,3.33,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Bobby Wilson,1975.0,1978.0,5.54,0.77,1.17,0.36,0.03,0,0,0,0,0,0,0,0,0,0,0
Bubba Wilson,1980.0,1980.0,1.06,0.75,1.0,0.12,0.0,0,0,0,0,0,0,0,0,0,0,0
DJ Wilson,2018.0,2022.0,4.43,0.74,3.1,0.27,0.29,0,0,0,0,0,0,0,0,0,0,0
George Wilson,1965.0,1971.0,5.4,0.75,5.23,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Wilson,1972.0,1973.0,4.58,1.45,1.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Jamil Wilson,2018.0,2018.0,7.0,0.67,2.13,0.33,0.53,0,0,0,0,0,0,0,0,0,0,0
Jasper Wilson,1969.0,1970.0,5.23,0.64,2.67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
