Season,First team,First team,Second team,Second team
1996–97,Gary Payton* (4),Seattle SuperSonics,John Stockton* (5),Utah Jazz
1997–98,Scottie Pippen* (8),Chicago Bulls,Tim Duncan*,San Antonio Spurs
1997–98,Karl Malone* (3),Utah Jazz,Charles Oakley (2),New York Knicks
1997–98,Dikembe Mutombo* (3),Atlanta Hawks,David Robinson* (8),San Antonio Spurs
1997–98,Gary Payton* (5),Seattle SuperSonics,Mookie Blaylock (5),Atlanta Hawks
1997–98,Michael Jordan* (9),Chicago Bulls,Eddie Jones,Los Angeles Lakers
1998–99,Tim Duncan* (2),San Antonio Spurs,P. J. Brown (2),Miami Heat
1998–99,Jason Kidd*,Phoenix Suns,Theo Ratliff,Philadelphia 76ers
1998–99,Alonzo Mourning*,Miami Heat,Dikembe Mutombo* (4),Atlanta Hawks
1998–99,Gary Payton* (6),Seattle SuperSonics,Mookie Blaylock (6),Atlanta Hawks
1998–99,Karl Malone* (4) (tie),Utah Jazz,Eddie Jones (2),Charlotte Hornets
1998–99,Scottie Pippen* (9) (tie),Houston Rockets,Eddie Jones (2),Charlotte Hornets
1999–00,Tim Duncan* (3),San Antonio Spurs,Scottie Pippen* (10),Portland Trail Blazers
1999–00,Kevin Garnett*,Minnesota Timberwolves,Clifford Robinson,Phoenix Suns
1999–00,Alonzo Mourning* (2),Miami Heat,Shaquille O'Neal*,Los Angeles Lakers
1999–00,Gary Payton* (7),Seattle SuperSonics,Eddie Jones (3),Charlotte Hornets
1999–00,Kobe Bryant*,Los Angeles Lakers,Jason Kidd* (2),Phoenix Suns
2000–01,Tim Duncan* (4),San Antonio Spurs,Bruce Bowen,Miami Heat
2000–01,Kevin Garnett* (2),Minnesota Timberwolves,P. J. Brown (3),Charlotte Hornets
2000–01,Dikembe Mutombo* (5),Philadelphia 76ers,Shaquille O'Neal* (2),Los Angeles Lakers
2000–01,Gary Payton* (8),Seattle SuperSonics,Kobe Bryant* (2),Los Angeles Lakers
2000–01,Jason Kidd* (3),Phoenix Suns,Doug Christie,Sacramento Kings
2001–02,Tim Duncan* (5),San Antonio Spurs,Bruce Bowen (2),San Antonio Spurs
2001–02,Kevin Garnett* (3),Minnesota Timberwolves,Clifford Robinson (2),Detroit Pistons
2001–02,Ben Wallace*,Detroit Pistons,Dikembe Mutombo* (6),Philadelphia 76ers
2001–02,Gary Payton* (9),Seattle SuperSonics,Kobe Bryant* (3),Los Angeles Lakers
2001–02,Jason Kidd* (4),New Jersey Nets,Doug Christie (2),Sacramento Kings
2002–03,Tim Duncan* (6),San Antonio Spurs,Ron Artest,Indiana Pacers
2002–03,Kevin Garnett* (4),Minnesota Timberwolves,Bruce Bowen (3),San Antonio Spurs
2002–03,Ben Wallace* (2),Detroit Pistons,Shaquille O'Neal* (3),Los Angeles Lakers
2002–03,Doug Christie (3),Sacramento Kings,Jason Kidd* (5),New Jersey Nets
2002–03,Kobe Bryant* (4),Los Angeles Lakers,Eric Snow,Philadelphia 76ers
2003–04,Ron Artest (2),Indiana Pacers,Andrei Kirilenko,Utah Jazz
2003–04,Kevin Garnett* (5),Minnesota Timberwolves,Tim Duncan* (7),San Antonio Spurs
2003–04,Ben Wallace* (3),Detroit Pistons,Theo Ratliff (2),Portland Trail Blazers
2003–04,Bruce Bowen (4),San Antonio Spurs,Doug Christie (4),Sacramento Kings
2003–04,Kobe Bryant* (5),Los Angeles Lakers,Jason Kidd* (6),New Jersey Nets
2004–05,Ben Wallace* (4),Detroit Pistons,Tayshaun Prince,Detroit Pistons
2004–05,Kevin Garnett* (6),Minnesota Timberwolves,Marcus Camby,Denver Nuggets
2004–05,Bruce Bowen (5),San Antonio Spurs,Chauncey Billups,Detroit Pistons
2004–05,Tim Duncan* (8),San Antonio Spurs,Andrei Kirilenko (2),Utah Jazz
2004–05,Larry Hughes,Washington Wizards,Jason Kidd* (7) (tie),New Jersey Nets
2004–05,Larry Hughes,Washington Wizards,Dwyane Wade (tie),Miami Heat
2005–06,Bruce Bowen (6),San Antonio Spurs,Tim Duncan* (9),San Antonio Spurs
2005–06,Ben Wallace* (5),Detroit Pistons,Chauncey Billups (2),Detroit Pistons
2005–06,Andrei Kirilenko (3),Utah Jazz,Kevin Garnett* (7),Minnesota Timberwolves
2005–06,Ron Artest (3),Sacramento Kings,Marcus Camby (2),Denver Nuggets
2005–06,Kobe Bryant* (6) (tie),Los Angeles Lakers,Tayshaun Prince (2),Detroit Pistons
2005–06,Jason Kidd* (8) (tie),New Jersey Nets,Tayshaun Prince (2),Detroit Pistons
2006–07,Bruce Bowen (7),San Antonio Spurs,Ben Wallace* (6),Chicago Bulls
2006–07,Tim Duncan* (10),San Antonio Spurs,Kirk Hinrich,Chicago Bulls
2006–07,Marcus Camby (3),Denver Nuggets,Jason Kidd* (9),New Jersey Nets
2006–07,Kobe Bryant* (7),Los Angeles Lakers,Tayshaun Prince (3),Detroit Pistons
2006–07,Raja Bell,Phoenix Suns,Kevin Garnett* (8),Minnesota Timberwolves
2007–08,Kevin Garnett* (9),Boston Celtics,Shane Battier,Houston Rockets
2007–08,Kobe Bryant* (8),Los Angeles Lakers,Chris Paul^,New Orleans Hornets
2007–08,Marcus Camby (4),Denver Nuggets,Dwight Howard^,Orlando Magic
2007–08,Bruce Bowen (8),San Antonio Spurs,Tayshaun Prince (4),Detroit Pistons
2007–08,Tim Duncan* (11),San Antonio Spurs,Raja Bell (2),Phoenix Suns
2008–09,Dwight Howard^ (2),Orlando Magic,Tim Duncan* (12),San Antonio Spurs
2008–09,Kobe Bryant* (9),Los Angeles Lakers,Dwyane Wade (2),Miami Heat
2008–09,LeBron James^,Cleveland Cavaliers,Rajon Rondo^,Boston Celtics
2008–09,Chris Paul^ (2),New Orleans Hornets,Shane Battier (2),Houston Rockets
2008–09,Kevin Garnett* (10),Boston Celtics,Ron Artest (4),Houston Rockets
2009–10,Dwight Howard^ (3),Orlando Magic,Tim Duncan* (13),San Antonio Spurs
2009–10,Rajon Rondo^ (2),Boston Celtics,Dwyane Wade (3),Miami Heat
2009–10,LeBron James^ (2),Cleveland Cavaliers,Josh Smith,Atlanta Hawks
2009–10,Kobe Bryant* (10),Los Angeles Lakers,Anderson Varejão,Cleveland Cavaliers
