Player,start,end,ppg,apg,rpg,spg,bpg
Bo Erias,1958,1958,8.22,1.44,4.61,0,0
Keith Erickson,1966,1977,9.47,2.6,4.5,0.93,0.19
Julius Erving,1972,1987,24.16,4.16,8.47,1.96,1.67
Evan Eschmeyer,2000,2003,2.75,0.5,3.93,0.45,0.62
Jack Eskridge,1949,1949,2.78,0.61,0,0,0
Vincenzo Esposito,1996,1996,3.87,0.77,0.53,0.23,0
Drew Eubanks,2019,2023,5.94,0.97,4.56,0.37,0.79
Billy Evans,1970,1970,1.92,1.89,0.74,0,0
Bob Evans,1950,1950,3.02,1.17,0,0,0
Brian Evans,1997,1999,3.68,0.75,1.61,0.34,0.18
Earl Evans,1980,1980,4.36,1.03,2.08,0.39,0.03
Jacob Evans,2019,2020,2.85,0.92,1.12,0.27,0.25
Jawun Evans,2018,2019,4.23,1.96,1.71,0.7,0.11
Jeremy Evans,2011,2018,3.52,0.43,2.56,0.36,0.48
Maurice Evans,2002,2012,6.67,0.75,2.46,0.52,0.16
Mike Evans,1980,1988,7.67,2.56,1.37,0.73,0.09
Reggie Evans,2003,2015,4.07,0.57,7.13,0.7,0.14
Tyreke Evans,2010,2019,15.74,4.8,4.58,1.24,0.37
Daniel Ewing,2006,2007,3.39,1.37,1.24,0.54,0.08
Patrick Ewing,1986,2002,20.98,1.87,9.81,0.96,2.45
Patrick Ewing,2011,2011,0.43,0.29,0.29,0,0.14
Dante Exum,2015,2021,5.67,2.1,1.8,0.41,0.18
Christian Eyenga,2011,2012,6.27,0.78,2.69,0.73,0.65
Festus Ezeli,2013,2016,4.19,0.37,4.26,0.28,0.98
Johnny Ezersky,1948,1950,7.64,1.25,0,0,0
Joe Fabel,1947,1947,2.1,0.07,0,0,0
John Fairchild,1966,1970,6.58,0.7,3.17,0,0
Tacko Fall,2020,2022,2.22,0.16,2.43,0.05,0.81
Phil Farbman,1949,1949,3.23,0.75,0,0,0
Kenneth Faried,2012,2019,11.36,0.98,8.13,0.73,0.82
Dick Farley,1955,1959,6.53,1.83,2.5,0,0
Jordan Farmar,2007,2017,7.71,2.88,1.9,0.78,0.11
Desmon Farmer,2007,2009,2.36,1,0.64,0.09,0
Jim Farmer,1988,1994,5.26,0.82,1.37,0.31,0.03
Mike Farmer,1959,1966,6.66,1.3,4.61,0,0
Tony Farmer,1998,2000,5.27,0.78,3.24,0.75,0.2
Bob Faught,1947,1947,6.73,0.65,0,0,0
Vitor Luiz Faverani,2014,2014,4.43,0.43,3.46,0.38,0.73
Derrick Favors,2011,2022,10.57,1.08,7.1,0.73,1.19
Nick Fazekas,2008,2008,4.12,0.42,3.42,0.31,0.42
Dave Fedor,1963,1963,0.86,0.14,0.86,0,0
Bob Feerick,1947,1950,13.29,1.99,0,0,0
Butch Feher,1977,1977,5.17,0.75,1.54,0.23,0.15
Jamie Feick,1997,2001,4.53,0.69,7.15,0.58,0.45
Ron Feiereisel,1956,1956,3,0.6,0.6,0,0
George Feigenbaum,1950,1953,3.06,1.12,1.4,0,0
Dave Feitl,1987,1992,4.33,0.45,2.96,0.17,0.17
Kay Felder,2017,2018,3.84,1.34,1.02,0.36,0.14
Cristiano Felicio,2016,2021,4.28,0.73,3.94,0.29,0.2
Carrick Felix,2014,2014,2.71,0.57,0.86,0,0
Noel Felix,2006,2006,1.5,0.17,1.08,0.17,0.25
Ray Felix,1954,1962,10.95,0.72,8.88,0,0
Raymond Felton,2006,2019,11.18,5.25,2.95,1.18,0.21
Jake Fendley,1952,1953,2.79,0.91,1.22,0,0
Warren Fenley,1947,1947,2.58,0.48,0,0,0
Desmond Ferguson,2004,2004,1.86,0.14,0.57,0,0
Terrance Ferguson,2018,2021,4.53,0.71,1.29,0.45,0.21
Rudy Fernandez,2009,2012,9.05,2.22,2.44,1,0.16
Bruno Fernando,2020,2023,3.33,0.63,2.97,0.19,0.41
Eric Fernsten,1976,1984,2.37,0.38,1.71,0.24,0.23
Al Ferrari,1956,1963,6.81,2.54,2.24,0,0
Rolando Ferreira,1989,1989,0.75,0.08,1.08,0,0.08
Duane Ferrell,1989,1999,6.35,0.87,1.94,0.52,0.18
Yogi Ferrell,2017,2021,7.7,2.32,2.07,0.64,0.11
Arnie Ferrin,1949,1951,5.83,1.56,3.99,0,0
Bob Ferry,1960,1969,9.12,1.43,5.27,0,0
Danny Ferry,1991,2003,7.02,1.29,2.78,0.42,0.32
Kyrylo Fesenko,2008,2012,2.26,0.3,1.99,0.14,0.39
Bobby Fields,1972,1972,2.45,0.91,1.36,0,0
Kenny Fields,1985,1988,6.2,1.02,2.52,0.53,0.21
Landry Fields,2011,2015,6.79,1.64,4.28,0.83,0.18
Ron Filipek,1968,1968,2.26,0.37,1.32,0,0
Greg Fillmore,1971,1972,2.41,0.41,2.2,0,0
Larry Finch,1974,1975,8.64,2.35,1.7,0.61,0.05
Hank Finkel,1967,1975,5.06,0.77,3.9,0.08,0.08
Michael Finley,1996,2010,15.69,2.94,4.36,0.9,0.29
Danny Finn,1953,1955,7.34,3.99,3.86,0,0
Dorian FinneySmith,2017,2023,8.23,1.42,4.58,0.81,0.43
Matt Fish,1995,1997,3.54,0.5,2.2,0.38,0.28
Derek Fisher,1997,2014,8.32,2.96,2.07,1.05,0.08
Rick Fisher,1972,1972,3.08,0.42,2.67,0,0
Gerald Fitch,2006,2006,4.67,1.83,1.67,0.39,0.28
Malik Fitts,2021,2022,1.33,0.28,1.11,0,0
Bob Fitzgerald,1947,1949,3.08,0.6,0,0,0
Dick Fitzgerald,1947,1948,4.54,0.66,0,0,0
Marcus Fizer,2001,2006,9.63,1.22,4.64,0.46,0.28
Jerry Fleishman,1947,1953,5.77,1.64,4.61,0,0
Al Fleming,1978,1978,2,0.35,1.5,0,0.25
Ed Fleming,1956,1960,8.6,1.86,5.25,0,0
Vern Fleming,1985,1996,11.34,4.81,3.37,1.04,0.12
Luis Flores,2005,2005,2.19,0.69,0.19,0.12,0
Bruce Flowers,1983,1983,4.92,0.89,3.4,0.36,0.23
Sleepy Floyd,1983,1995,12.81,5.41,2.61,1.17,0.22
Jonny Flynn,2010,2012,9.23,3.89,1.88,0.75,0.04
Malachi Flynn,2021,2023,5.48,1.99,1.8,0.55,0.1
Mike Flynn,1976,1978,6.24,2.15,2.07,0.67,0.12
Larry Fogle,1976,1976,1,0,1.5,0.5,0
Jack Foley,1963,1963,4.82,0.45,1.45,0,0
Isaac Fontaine,2002,2002,1.83,0.67,0.83,0,0
Levi Fontaine,1971,1971,3.83,0.63,0.43,0,0
Simone Fontecchio,2023,2023,5.12,0.68,1.37,0.27,0.2
Jeff Foote,2012,2012,1,0,1.5,0,0.25
Bryn Forbes,2017,2023,8.76,1.21,1.67,0.38,0.03
Gary Forbes,2011,2012,5.81,0.93,1.96,0.42,0.09
Aleem Ford,2022,2022,2.8,0.4,3,0.2,0
Alphonso Ford,1994,1995,3.18,0.91,1.82,0.27,0
Alton Ford,2002,2004,2.55,0.15,1.7,0.08,0.11
Bob Ford,1973,1973,1.56,0.44,1.33,0,0
Chris Ford,1973,1982,9.21,3.42,3.02,1.6,0.27
Don Ford,1976,1982,6.36,1.36,3.57,0.58,0.29
Jake Ford,1971,1972,4.06,1.13,0.65,0,0
Phil Ford,1979,1985,11.61,6.4,1.77,1.22,0.06
Sharrod Ford,2006,2006,1.33,0,1,0,0.33
Sherell Ford,1996,1996,3.21,0.18,0.86,0.29,0.04
TJ Ford,2004,2012,11.18,5.82,3.1,1.16,0.13
Donnie Forman,1949,1949,4.07,1.68,0,0,0
Bayard Forrest,1978,1979,4.09,2.13,4.06,0.37,0.51
Trent Forrest,2021,2023,3.08,1.69,1.59,0.42,0.11
Joseph Forte,2002,2003,1.2,0.68,0.68,0.24,0
Courtney Fortson,2012,2012,3.5,1,1.5,0.3,0
Danny Fortson,1998,2007,8.22,0.68,7.24,0.41,0.21
Fred Foster,1969,1977,7.81,1.15,2.43,0.3,0.04
Greg Foster,1991,2003,3.87,0.54,2.58,0.14,0.3
Jeff Foster,2000,2012,4.9,0.92,6.87,0.66,0.4
Jimmy Foster,1975,1976,3.72,2.13,1.31,0.65,0.1
Michael Foster Jr,2023,2023,0,0,0,0,0
Rod Foster,1984,1986,7.55,2.31,1.25,0.66,0.05
Antonis Fotsis,2002,2002,3.86,0.36,2.21,0.32,0.39
Evan Fournier,2013,2023,14.04,2.56,2.72,0.87,0.15
Larry Foust,1951,1962,13.71,1.67,9.84,0,0
Calvin Fowler,1970,1970,4.4,1.62,2.18,0,0
Jerry Fowler,1952,1952,1.5,0.33,1.67,0,0
Tremaine Fowlkes,2002,2005,2.92,0.52,2.21,0.46,0.06
De'Aaron Fox,2018,2023,20.11,6.22,3.65,1.32,0.42
Harold Fox,1973,1973,3.1,1,0.8,0,0
Jim Fox,1968,1977,9.35,1.62,7.44,0.51,0.27
Rick Fox,1992,2004,9.64,2.85,3.78,1.04,0.38
Randy Foye,2007,2017,10.28,2.81,2.24,0.7,0.29
Adonal Foyle,1998,2009,4.08,0.47,4.72,0.36,1.63
Richie Frahm,2004,2008,3.59,0.59,1.17,0.26,0.07
Steve Francis,2000,2008,18.14,6.03,5.58,1.47,0.39
Tellis Frank,1988,1994,6.48,1.05,3.87,0.6,0.36
Nat Frankel,1947,1947,2.67,0.5,0,0,0
Bill Franklin,1973,1976,6.14,0.61,3.74,0.18,0.15
Jamaal Franklin,2014,2015,1.75,0.38,1.04,0.17,0.12
Robert Franks,2021,2021,6.14,0.71,2,0.43,0.43
Ron Franz,1968,1973,11.74,1.66,5.28,0,0
Melvin Frazier,2019,2022,2.72,0.16,0.88,0.34,0.06
Michael Frazier,2020,2020,2.08,0.15,0.77,0.15,0
Tim Frazier,2015,2022,4.89,3.95,2.26,0.67,0.09
Walt Frazier,1968,1980,18.89,6.11,5.85,1.9,0.18
Will Frazier,1966,1969,9.8,1.12,7.1,0,0
Anthony Frederick,1989,1992,4.88,0.92,1.9,0.52,0.31
Jimmer Fredette,2012,2019,5.97,1.37,1.01,0.39,0.05
World B Free,1976,1988,20.27,3.75,2.74,1.03,0.25
Enes Freedom,2012,2022,Error,Error,Error,Error,Error
Joel Freeland,2013,2015,3.16,0.43,3.43,0.21,0.37
Donnie Freeman,1968,1976,18.88,3.54,3.54,0.82,0.23
Gary Freeman,1971,1971,3.21,0.67,2.04,0,0
Rod Freeman,1974,1974,3.03,0.4,1.54,0.34,0.03
Matt Freije,2005,2007,3.17,0.64,2.02,0.38,0.07
Frido Frey,1947,1947,3.83,0.61,0,0,0
Larry Friend,1958,1958,3.98,1.07,2.41,0,0
Pat Frink,1969,1969,2.56,1.15,0.85,0,0
Jim Fritsche,1954,1955,3.88,0.92,2.96,0,0
Channing Frye,2006,2019,8.75,0.97,4.5,0.51,0.61
Bernie Fryer,1974,1975,6.3,2.98,1.89,1,0.08
Frank Fucarino,1947,1947,5,0.29,0,0,0
Herm Fuetsch,1948,1948,2.6,0.4,0,0,0
Joe Fulks,1947,1954,16.37,1.2,5.34,0,0
Carl Fuller,1971,1972,5.7,0.79,4.71,0,0
Hiram Fuller,2004,2004,2,0.5,2.75,0,0.25
Todd Fuller,1997,2001,3.71,0.2,3,0.15,0.27
Tony Fuller,1981,1981,4,1.87,2.8,0.67,0.07
Markelle Fultz,2018,2023,11.75,4.98,3.49,1.24,0.26
Lawrence Funderburke,1998,2005,6.39,0.58,3.59,0.3,0.31
Terry Furlow,1977,1980,10.67,2.38,2.12,0.67,0.29
Bill Gabor,1950,1955,9.76,2.04,1.78,0,0
Wenyen Gabriel,2020,2023,4.54,0.46,3.32,0.34,0.42
Dan Gadzuric,2003,2012,4.68,0.37,4.41,0.46,0.85
Daniel Gafford,2020,2023,7.82,0.8,4.68,0.42,1.33
Deng Gai,2006,2006,0,0,0,0,0
Elmer Gainer,1948,1950,1.45,0.5,0,0,0
Bill Gaines,1969,1969,2,0,1,0,0
Corey Gaines,1989,1995,3.1,3.09,0.86,0.49,0.05
Reece Gaines,2004,2006,1.73,0.7,0.75,0.24,0.04
Smokey Gaines,1968,1968,3.33,0,3.33,0,0
Sundiata Gaines,2010,2012,4.5,1.83,1.55,0.73,0.03
Mike Gale,1972,1982,7.37,3.74,2.9,1.77,0.48
Chad Gallagher,1994,1994,3,0,0,0,0
Harry Gallatin,1949,1958,12.97,1.77,11.89,0,0
Gene Gallette,1947,1947,0.57,0.14,0,0,0
Danilo Gallinari,2009,2022,15.56,1.94,4.82,0.74,0.36
Langston Galloway,2015,2022,8.09,1.62,2.45,0.67,0.14
Dave Gambee,1959,1970,10.58,1.01,5.19,0,0
Kevin Gamble,1988,1997,9.48,2,2.24,0.72,0.27
Bob Gantt,1947,1947,3.09,0.22,0,0,0
Jorge Garbajosa,2007,2008,7.96,1.73,4.66,1.09,0.2
Ruben Garces,2001,2001,1.23,0.38,2.23,0.23,0.15
Alex Garcia,2004,2005,4.7,1.8,1.5,0.6,0.1
Francisco Garcia,2006,2015,7.87,1.36,2.55,0.8,0.71
Chuck Gardner,1968,1968,4.69,0.31,3.24,0,0
Earl Gardner,1949,1949,1.78,0.38,0,0,0
Ken Gardner,1976,1976,1.56,0.33,1.44,0.22,0.11
Thomas Gardner,2008,2009,2.25,0.15,0.55,0.2,0.05
Vern Gardner,1950,1952,8.87,1.62,3.97,0,0
Jack Garfinkel,1947,1949,5.17,1.46,0,0,0
Patricio Garino,2017,2017,0,0,1.4,0,0
Darius Garland,2020,2023,18.53,6.7,2.6,1.14,0.1
Gary Garland,1980,1980,4.28,1.86,1.77,0.69,0.05
Winston Garland,1988,1995,9.39,4.74,2.8,1.32,0.16
Dick Garmaker,1956,1961,13.29,2.65,4.15,0,0
Bill Garner,1968,1968,1.53,0.45,2.25,0,0
Chris Garner,1998,2001,1.57,1.37,0.78,0.61,0.11
Bill Garnett,1983,1986,5.46,1.31,4.33,0.53,0.58
Kevin Garnett,1996,2016,17.83,3.72,10.03,1.27,1.39
Marlon Garnett,1999,1999,2.12,0.75,0.88,0.21,0.04
Billy Garrett,2019,2019,6.5,1.75,0.75,0.25,0.25
Calvin Garrett,1981,1984,5.15,1.46,2.63,0.57,0.11
Dean Garrett,1997,2002,4.84,0.57,5.04,0.47,1.04
Diante Garrett,2013,2014,3.2,1.68,1.24,0.57,0.06
Dick Garrett,1970,1974,10.25,2.5,2.96,0.25,0.03
Marcus Garrett,2022,2022,1.08,0.58,1.92,0.42,0.25
Rowland Garrett,1973,1977,5.08,0.4,2.31,0.33,0.17
Tom Garrick,1989,1992,5.41,3.4,2,1.06,0.09
John Garris,1984,1984,3.97,0.3,2.33,0.24,0.18
Kiwane Lemorris Garris,1998,2000,2.32,0.97,0.65,0.23,0.03
Pat Garrity,1999,2008,7.28,0.8,2.64,0.45,0.19
Usman Garuba,2022,2023,2.87,0.85,4.05,0.57,0.43
Jim Garvin,1974,1974,0.33,0,0.83,0,0
Luka Garza,2022,2023,6.26,0.66,2.76,0.21,0.14
Marc Gasol,2009,2021,14.04,3.36,7.41,0.89,1.41
Pau Gasol,2002,2019,17.04,3.2,9.22,0.49,1.58
Frank Gates,1950,1950,4.48,1.42,0,0,0
Chris Gatling,1992,2002,10.33,0.66,5.34,0.66,0.54
Kenny Gattison,1987,1996,7.94,0.9,4.71,0.59,0.66
Rudy Gay,2007,2023,15.76,2.04,5.62,1.1,0.71
Ed Gayda,1951,1951,3.73,0.87,2.6,0,0
Andrew Gaze,1994,1999,1.65,0.42,0.46,0.15,0.08
Michael Gbinije,2017,2017,0.44,0.22,0.33,0,0
Reggie Geary,1997,1998,2.07,1.09,0.81,0.5,0.14
Alonzo Gee,2010,2017,6.6,1.06,3.26,0.91,0.24
Matt Geiger,1993,2002,9.16,0.7,5.72,0.55,0.63
Mickael Gelabale,2007,2013,4.62,0.79,2.28,0.34,0.24
Devean George,2000,2010,5.61,0.86,3.13,0.69,0.37
Jack George,1954,1961,10.18,4.29,4.21,0,0
Paul George,2011,2023,20.62,3.69,6.4,1.7,0.43
Tate George,1991,1995,4.16,1.84,1.02,0.43,0.06
Marcus GeorgesHunt,2017,2018,1.55,0.21,0.53,0.15,0
Gus Gerard,1975,1981,8.44,1.26,4.06,0.63,0.71
Derrick Gervin,1990,1991,8.78,0.49,2.27,0.51,0.34
George Gervin,1973,1986,25.09,2.64,5.28,1.25,1.02
Gorham Getchell,1947,1947,0.31,0,0,0,0
John Gianelli,1973,1980,7.78,1.54,5.89,0.46,0.97
Dick Gibbs,1972,1976,5.22,0.78,1.87,0.33,0.17
Daniel Gibson,2007,2013,7.85,1.95,1.99,0.61,0.22
Dee Gibson,1950,1950,6.39,2.86,0,0,0
Hoot Gibson,1950,1950,5.5,1.16,0,0,0
Jonathan Gibson,2017,2018,6.67,1.43,1.19,0.38,0
Mel Gibson,1964,1964,1.44,0.67,0.44,0,0
Mike Gibson,1984,1986,1.58,0.22,1.66,0.2,0.17
Taj Gibson,2010,2023,8.75,0.97,5.91,0.55,1
JR Giddens,2009,2010,1.92,0.34,1.42,0.26,0.05
Josh Giddey,2022,2023,14.5,6.25,7.83,0.86,0.39
Trey Gilder,2010,2010,1,0,0.5,0.5,0
Harry Giles,2019,2021,5.86,1.23,3.82,0.43,0.37
Shai GilgeousAlexander,2019,2023,20.75,4.52,4.54,1.24,0.73
Anthony Gill,2021,2023,3.48,0.52,1.79,0.18,0.22
Eddie Gill,2001,2009,3.05,1.16,1.11,0.56,0.07
Kendall Gill,1991,2005,13.37,3.05,4.14,1.57,0.45
Ben Gillery,1989,1989,1.04,0.08,0.96,0.08,0.17
Freddie Gillespie,2021,2022,4.55,0.48,4.59,0.55,1
Jack Gillespie,1970,1970,1,0,3.5,0,0
Armen Gilliam,1988,2000,13.67,1.17,6.89,0.73,0.65
Herm Gilliam,1970,1977,10.82,3.85,3.76,1.3,0.17
Artis Gilmore,1972,1988,18.77,2.29,12.29,0.56,2.39
Walt Gilmore,1971,1971,2.15,0.44,2.7,0,0
Chuck Gilmur,1947,1951,5.82,1.46,4.69,0,0
Manu Ginobili,2003,2018,13.29,3.79,3.5,1.32,0.3
Gordan Giricek,2003,2008,9.56,1.52,2.45,0.58,0.12
Jack Givens,1979,1980,6.67,0.91,2.92,0.79,0.23
Mickell Gladness,2012,2012,2.15,0.19,2.23,0.15,0.77
George Glamack,1949,1949,9.27,1.73,0,0,0
Gerald Glass,1991,1996,7.73,1.48,2.55,0.65,0.29
Mike Glenn,1978,1987,7.58,1.61,1.2,0.54,0.07
Normie Glick,1950,1950,2,0,0,0,0
Georgi Glouchkov,1986,1986,4.88,0.65,3.33,0.53,0.51
Clarence Glover,1972,1972,2.6,0.16,1.84,0,0
Dion Glover,2000,2005,8.19,1.55,3.05,0.79,0.22
Andreas Glyniadakis,2007,2007,1.31,0.08,0.62,0,0
Mike Gminski,1981,1994,11.68,1.28,6.91,0.54,1.05
Rudy Gobert,2014,2023,12.55,1.3,11.64,0.69,2.15
Dan Godfread,1991,1992,1.18,0,0.18,0.09,0.36
Tom Gola,1956,1966,11.28,4.24,8.05,0,0
Ben Goldfaden,1947,1947,1,0,0,0,0
Anthony Goldwire,1996,2006,6.27,2.77,1.35,0.63,0.03
Ryan Gomes,2006,2014,10.11,1.46,4.6,0.72,0.16
Glen Gondrezick,1978,1983,5.85,1.39,4.51,1.11,0.27
Grant Gondrezick,1987,1989,4.99,1.26,1.6,0.42,0.05
Drew Gooden,2003,2016,10.95,1.13,7.11,0.69,0.6
Gail Goodrich,1966,1979,18.6,4.66,3.18,1.33,0.18
Steve Goodrich,2001,2002,1.14,0.52,1.24,0.14,0.14
Archie Goodwin,2014,2017,6.3,1.25,2.01,0.42,0.23
Brandon Goodwin,2019,2022,4.72,1.89,1.59,0.41,0.04
Jordan Goodwin,2022,2023,5.47,2.25,2.98,0.87,0.42
Pop Goodwin,1947,1948,4.39,0.28,0,0,0
Aaron Gordon,2015,2023,13.42,2.53,6.31,0.74,0.64
Ben Gordon,2005,2015,14.9,2.51,2.49,0.68,0.15
Drew Gordon,2015,2015,1.89,0.22,2,0.11,0
Eric Gordon,2009,2023,16.09,2.83,2.39,0.84,0.35
Lancaster Gordon,1985,1988,5.6,1.46,1.29,0.64,0.15
Paul Gordon,1950,1950,0.75,0.75,0,0,0
Marcin Gortat,2008,2019,9.86,1.14,7.95,0.48,1.1
Leo Gottlieb,1947,1948,5.54,0.43,0,0,0
Andrew Goudelock,2012,2016,4.02,0.49,0.69,0.2,0.04
Gerald Govan,1968,1976,7.71,3.18,10.45,0.73,0.51
Bato Govedarica,1954,1954,3.26,1.04,0.78,0,0
Joe Graboski,1949,1962,10.98,1.78,8.07,0,0
Ricky Grace,1994,1994,1.33,0.33,0.33,0,0
Calvin Graham,1968,1968,1.62,0,1.25,0,0
Devonte' Graham,2019,2023,11.64,4.51,2.31,0.79,0.16
Greg Graham,1994,1998,4.53,0.97,1.06,0.62,0.06
Joey Graham,2006,2011,5.94,0.55,2.81,0.36,0.11
Mal Graham,1968,1969,4.67,1.07,1.69,0,0
Orlando Graham,1989,1989,1.14,0,1.57,0,0
Paul Graham,1992,1994,8.37,1.97,2.42,1.04,0.18
Stephen Graham,2006,2011,4.04,0.49,1.77,0.24,0.08
Treveon Graham,2017,2020,4.21,0.8,2.22,0.42,0.09
Jim Grandholm,1991,1991,3.04,0.31,1.92,0.08,0.31
Ron Grandison,1989,1996,2.42,0.55,1.55,0.3,0.06
Danny Granger,2006,2015,16.82,1.87,4.93,0.96,0.82
Stewart Granger,1984,1987,3.95,2.16,0.97,0.41,0.01
Brian Grant,1995,2006,10.49,1.22,7.44,0.6,0.74
Bud Grant,1950,1951,2.59,0.94,1.89,0,0
Gary Grant,1989,2001,7.91,5.46,2.32,1.49,0.12
Greg Grant,1990,1996,2.8,2.74,0.91,0.59,0.03
Harvey Grant,1989,1999,9.94,1.56,4.39,0.77,0.55
Horace Grant,1988,2004,11.16,2.21,8.11,0.98,0.98
Jerami Grant,2015,2023,12.33,1.45,4,0.65,1.08
Jerian Grant,2016,2020,6.06,2.89,1.9,0.73,0.12
Josh Grant,1994,1994,2.96,0.45,1.68,0.34,0.15
Paul Grant,1999,2004,1.81,0.19,1.12,0.12,0.06
Travis Grant,1973,1976,13.77,1.05,4.07,0.63,0.3
Donte Grantham,2019,2019,0,0,0,0,0
Don Grate,1950,1950,2,1.5,0,0,0
Butch Graves,1985,1985,1.25,0.25,0.5,0.25,0
Hassani Gravett,2022,2022,6.25,2.5,2.62,0.62,0.12
Aaron Gray,2008,2014,3.35,0.65,3.74,0.3,0.27
Devin Gray,1997,2000,2.48,0.26,1.44,0.33,0.11
Ed Gray,1998,1999,6.22,0.77,1.22,0.45,0.2
Evric Gray,1997,1997,2.6,0.4,0.6,0.2,0
Gary Gray,1968,1968,2.39,0.59,0.52,0,0
Josh Gray,2018,2020,4.86,2,1.71,1.14,0.29
Leonard Gray,1975,1977,10.75,2.19,5.22,0.88,0.41
Stuart Gray,1985,1991,2.35,0.38,2.64,0.17,0.34
Sylvester Gray,1989,1989,8,2.13,5.2,0.65,0.45
Wyndol Gray,1947,1948,5.42,0.75,0,0,0
Jeff Grayer,1989,1998,7.44,1.45,2.95,0.62,0.15
Bob Greacen,1970,1972,2.4,0.87,1.43,0,0
AC Green,1986,2001,9.65,1.1,7.41,0.81,0.43
AJ Green,2023,2023,4.34,0.59,1.19,0.19,0
Danny Green,2010,2023,8.66,1.54,3.4,1.03,0.76
Devin Green,2006,2006,0.93,0.26,0.89,0.11,0
Draymond Green,2013,2023,8.67,5.56,6.97,1.36,1.01
Erick Green,2015,2016,3.06,0.81,0.71,0.25,0
Gerald Green,2006,2019,9.74,0.91,2.49,0.51,0.3
Jalen Green,2022,2023,19.42,3.11,3.63,0.71,0.27
JaMychal Green,2015,2023,7.76,0.91,5.52,0.55,0.42
Javonte Green,2020,2023,5.17,0.69,2.87,0.77,0.36
Jeff Green,2008,2023,12.44,1.53,4.21,0.67,0.5
Johnny Green,1960,1973,11.62,1.37,8.59,0,0
Josh Green,2021,2023,5.77,1.27,2.48,0.62,0.13
Ken Green,1986,1986,4.43,0.29,3.86,0.57,0
Kenny Green,1986,1987,4.42,0.27,1.68,0.15,0.18
Lamar Green,1970,1975,5.19,0.75,6.2,0.36,0.49
Litterial Green,1993,1999,2.86,1.23,0.51,0.33,0.04
Luther Green,1970,1973,4.27,0.33,3.57,0,0
Mike Green,1974,1980,11.55,1.28,6.93,0.71,1.64
Rickey Green,1978,1992,9.38,5.52,1.92,1.42,0.05
Sean Green,1992,1994,4.19,0.54,1.01,0.39,0.15
Si Green,1957,1966,9.2,3.28,4.27,0,0
Sidney Green,1984,1993,7.48,0.94,6.08,0.54,0.33
Steve Green,1976,1979,5.75,0.79,2.41,0.5,0.13
Taurean Green,2008,2008,1.59,0.65,0.59,0.12,0
Tommie Green,1979,1979,3.93,2.37,1.15,1.03,0.1
Willie Green,2004,2015,8.29,1.39,1.78,0.54,0.15
Donte Greene,2009,2012,6.09,0.72,2.37,0.44,0.46
Orien Greene,2006,2011,2.49,1.18,1.49,0.75,0.11
Jerry Greenspan,1964,1965,4.88,0.44,3.32,0,0
Dave Greenwood,1980,1991,10.24,1.96,7.94,0.71,0.89
Hal Greer,1959,1973,19.24,4.05,5.05,0,0
Lynn Greer,2007,2007,4.07,1.29,0.66,0.41,0.02
Gary Gregor,1969,1974,8.94,1.34,6.33,0.16,0.04
Claude Gregory,1986,1988,5.44,0.64,3.88,0.4,0.52
John Greig,1983,1983,2.11,0,0.67,0,0.11
Norm Grekin,1954,1954,0,0,0,0,0
Kevin Grevey,1976,1985,10.96,1.86,2.37,0.58,0.17
Dennis Grey,1969,1970,8.76,0.84,5.56,0,0
Adrian Griffin,2000,2008,4.02,1.37,3.17,0.91,0.12
AJ Griffin,2023,2023,8.81,0.97,2.03,0.65,0.11
Blake Griffin,2011,2023,19.12,4.01,8.02,0.82,0.47
Eddie Griffin,2002,2007,7.17,0.78,5.76,0.35,1.71
Greg Griffin,1978,1978,4.03,0.67,2.86,0.44,0
Paul Griffin,1977,1983,5.09,2.33,5.52,0.84,0.52
Taylor Griffin,2010,2010,1.25,0.12,0.25,0,0.25
Darrell Griffith,1981,1991,16.2,2.13,3.29,1.22,0.32
Chuck Grigsby,1955,1955,2.29,1,1.57,0,0
Quentin Grimes,2022,2023,8.17,1.48,2.64,0.63,0.35
Derek Grimm,1998,1998,1.56,0,0.44,0.33,0.11
Woody Grimshaw,1947,1947,2.9,0.05,0,0,0
Dick Groat,1953,1953,11.88,2.65,3.31,0,0
Bob Gross,1976,1983,8.9,2.89,4.39,1.2,0.7
Mike Grosso,1972,1972,4.12,0.44,4.92,0,0
Jerry Grote,1965,1965,1.27,0.36,0.36,0,0
Alex Groza,1950,1951,22.5,2.45,10.74,0,0
Dick Grubar,1970,1970,2,0.5,0,0,0
Anthony Grundy,2006,2006,4.33,0.75,1.42,0.58,0
Ernie Grunfeld,1978,1986,7.39,2.05,2.62,0.68,0.19
Gene Guarilia,1960,1963,3.2,0.28,2.28,0,0
Petur Gudmundsson,1982,1989,4.62,1.02,3.75,0.23,0.64
Marko Guduric,2020,2020,3.93,1.02,1.66,0.27,0.18
Richie Guerin,1957,1970,17.31,4.97,5.04,0,0
Tom Gugliotta,1993,2005,12.97,2.8,7.33,1.41,0.64
Andres Guibert,1994,1995,2.73,0.55,2.77,0.36,0.09
Jay Guidinger,1993,1994,1.53,0.31,1.52,0.2,0.23
Coulby Gunther,1947,1949,10.63,0.77,0,0,0
Dave Gunther,1963,1963,2,3,3,0,0
Al Guokas,1950,1950,3.75,1.67,0,0,0
Matt Guokas,1947,1947,1.74,0.19,0,0,0
Matt Guokas,1967,1976,5.83,2.96,1.97,0.55,0.19
Jorge Gutierrez,2014,2016,2.91,1.47,1.15,0.4,0.02
